NU_CNPB_PLANO_DA;ID_PROVISAO_MATEMATICA;TX_PERC_CUSTO_ANO;VL_CUSTO_ANO;SM_PROVISAO_MATEMATICA;SM_BENEFICIOS_CONCEDIDOS;SM_BEN_CON_CONTRIBUI_DEF;VL_BC_CD_SALD_CONT_ASSIST;SM_BEN_CON_BENEFICIO_DEF;VL_BC_BD_PROG_VABF_ASSIST;VL_BC_BD_NPRO_VABF_ASSIST;SM_BENEFICIOS_A_CONCEDER;SM_BEN_A_CON_CONTRIB_DEF;VL_AC_CD_SALD_CONT_PATRO;VL_AC_CD_SALD_CONT_PART;SM_BEN_A_CON_BEN_DEF_PROG;VL_AC_BD_PROG_VABF;VL_AC_BD_PROG_VACF_PATRO;VL_AC_BD_PROG_VACF_PART;SM_BEN_A_CON_BEN_DEF_NPRO;VL_AC_BD_NPRO_VABF;VL_AC_BD_NPRO_VACF_PATRO;VL_AC_BD_NPRO_VACF_PART;VL_AC_BD_CAPT_COBERTURA;VL_AC_BD_REPT_SIMPLES;ID_GRUPO_CUSTEIO_DA;ID_DEMONSTRACAO_ATUARIAL
2021002292;162245;;;151366.58;0;0;0;0;;;151366.58;151366.58;74777.74;76588.84;0;;;;0;;;;;;;2683445
1991001347;162131;;2029505.52;93086946.8;49618836.22;14489485.22;14489485.22;35129351;35129351;0;43468110.58;43468110.58;21063875.27;22404235.31;0;0;0;0;0;0;0;0;0;0;;2683453
1979002738;162169;;26495096.94;6856054452;6769638313;2156423.37;2156423.37;6767481889;5950823021;816658868;86416139.74;15749583.44;2746905.75;13002677.69;69843806.3;69843806.3;0;0;822750;822750;0;0;0;0;;2683457
2019002711;162247;;;262866944.2;0;0;0;0;;;262866944.2;262866944.2;0;262866944.2;0;;;;0;;;;;;;2684340
2007003074;162262;;;8245192.65;694480.53;694480.53;694480.53;0;;;7550712.12;7550712.12;2529251.27;5021460.85;0;;;;0;;;;;;;2684353
2019001519;162390;;;419316.2;0;0;0;0;;;419316.2;419316.2;0;419316.2;0;;;;0;;;;;;;2684381
2007003211;162393;;;72171997.48;4979292.6;4979292.6;4979292.6;0;;;67192704.88;67192704.88;37963281.01;29229423.87;0;;;;0;;;;;;;2684387
2019003392;162521;;;582268.63;0;0;0;0;;;582268.63;582268.63;319070.32;263198.31;0;;;;0;;;;;;;2684393
2019003147;162538;;;14147185.71;1026286.11;1026286.11;1026286.11;0;;;13120899.6;13120899.6;5626287.36;7494612.24;0;;;;0;;;;;;;2684399
2021002829;162559;;;119557.43;0;0;0;0;;;119557.43;119557.43;59778.72;59778.71;0;;;;0;;;;;;;2684413
2014000719;162663;;;78197517.21;807369.25;807369.25;807369.25;0;;;77390147.96;77390147.96;36785634.4;40604513.56;0;;;;0;;;;;;;2684415
2008003711;162674;;;916094278.7;159056299.7;159056299.7;159056299.7;0;;;757037979;757037979;289053469.3;467984509.7;0;;;;0;;;;;;;2684734
1989000347;162699;;;301789641.3;204267719.1;204267719.1;204267719.1;0;;;97521922.22;97521922.22;25904583.88;71617338.34;0;;;;0;;;;;;;2684760
1995003174;162732;;;109363833.3;2158820.04;2158820.04;2158820.04;0;;;107205013.2;107205013.2;52680937.07;54524076.16;0;;;;0;;;;;;;2684779
2014001618;162759;;;5911053.46;0;0;0;0;;;5911053.46;5911053.46;2871835.29;3039218.17;0;;;;0;;;;;;;2684786
2019000156;162782;;;2490021.08;0;0;0;0;;;2490021.08;2490021.08;1163642.97;1326378.11;0;;;;0;;;;;;;2684794
2020001519;162784;;;3099981.62;0;0;0;0;;;3099981.62;3099981.62;0;3099981.62;0;;;;0;;;;;;;2684803
2015001311;162832;;;1100644917;297030722.8;297030722.8;297030722.8;0;;;803614193.8;803614193.8;168831352.2;634782841.6;0;;;;0;;;;;;;2684810
2016001119;162876;;;884325.56;0;0;0;0;;;884325.56;884325.56;438413.53;445912.03;0;;;;0;;;;;;;2684816
1979003319;162182;;7184028.79;272102863.8;175956988.1;28396799.1;28396799.1;147560189;134774001;12786188;96145875.7;87400940.83;31970024.29;55430916.54;3616925.87;3616925.87;0;0;5128009;5128009;0;0;0;0;;2684863
1995000892;162192;;1149084.96;28466480.66;8355052.57;8081037.57;8081037.57;274015;0;274015;20111428.09;19887151.09;8741618.93;11145532.16;191149;191149;0;0;33128;33128;0;0;0;0;;2684873
2010001818;162202;;36543.6;1825849.21;1112138.78;1112138.78;1112138.78;0;0;0;713710.43;713710.43;369927.86;343782.57;0;0;0;0;0;0;0;0;0;0;;2684881
1981000356;162211;;0;618593578.5;616801285.5;7927756.51;7927756.51;608873529;513145901;95727628;1792293.03;63458.03;0;63458.03;1728835;1728835;0;0;0;0;0;0;0;0;;2684889
1999004019;162221;;25109249.18;927921665;284018593.9;284018593.9;284018593.9;0;0;0;643903071.1;640166179.1;293457432.7;346708746.4;0;0;0;0;3736892;5583740;1846848;0;0;0;;2684895
2003000283;162229;;2486597.62;49905998.49;14682554.17;3983883.71;3983883.71;10698670.46;8003680.86;2694989.6;35223444.32;35223444.32;19692019.09;15531425.23;0;0;0;0;0;0;0;0;0;0;;2684919
2005006483;162238;;3683278.65;134715513.7;41895172.44;0;0;41895172.44;35541601.9;6353570.54;92820341.29;91686783.49;47176824.55;44509958.94;0;0;0;0;1133557.8;2881081.24;873761.72;873761.72;0;0;;2684922
1979003629;162259;;24774414.13;1314442871;1066309016;0;0;1066309016;940748241;125560775;248133855;0;0;0;235653985;312918561;38352787;38911789;12479870;13024766;270477;274419;0;0;;2684930
1979001774;162275;;494748;6224815947;6089031315;0;0;6089031315;5393086098;695945217;135784632;0;0;0;135775581;136247707;236063;236063;9051;9265;107;107;0;0;;2684949
1998005283;162285;;138722823;6248791074;3868881324;0;0;3868881324;3657495175;211386149;2379909750;2319311057;1116200576;1203110481;0;0;0;0;60598693;81999175;10700241;10700241;0;0;;2684953
2006000756;162290;;26789304.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2684956
1988003229;162296;;0;449434905;314969351;0;0;314969351;295437800;19531551;134465554;0;0;0;130194403;130194403;0;0;4271151;4271151;0;0;0;0;;2685013
