NU_MATRICULA_EFPC;ID_DEMONSTRACAO_ATUARIAL;NU_CNPB_PLANO_DA;QTD_PART_ATIVOS;VR_FOLHA_SAL;QTD_GRUPOS
1482;2665772;2007002711;34;4347981.42;1
1482;2665776;1989000665;0;0;1
1482;2665792;1989000592;0;0;1
1482;2665805;2005001392;426;24850405.47;1
1482;2665807;1983000329;531;17956389.09;1
1482;2665809;2010003829;332;20325893.06;1
1482;2665813;2011000238;68;1979649.62;1
1482;2665827;2008003329;308;18549375.68;1
1482;2668212;1998003892;764;131652412.9;1
1482;2674520;2005006092;956;154752000;1
1482;2674587;1999000218;995;28500515.04;1
1482;2674777;1996003811;212;12362424;1
1482;2676167;2008000265;12431;224992393.1;2
1482;2676174;2016002174;297;37814971.42;8
1482;2676227;1988002338;0;0;1
1482;2676235;1997001683;32;3878492.04;1
1482;2676249;2001000138;1991;160523272.4;3
1482;2676327;1998004392;871;34978472.64;1
1482;2677420;2004001518;95;11379851;2
1482;2677440;1993002911;773;4435268;1
1482;2677446;1995000256;3;0;1
1482;2677452;1995000418;1327;18461514.81;1
1482;2677454;2003001247;6;851247;1
1482;2677461;2004003138;0;0;1
1482;2677465;1987000838;0;2685497.62;1
1482;2677469;2001000383;3912;36776990.7;1
1482;2677473;1997001111;1336;126626235.6;2
1482;2677481;2011001129;1160;129067120.2;1
1482;2678760;2018001965;540;40499285.84;1
1482;2678787;2003000119;726;156137217;1
1482;2678968;1996004956;46;243333.61;1
1482;2683165;2020000938;96;12188076.87;1
1482;2683453;1991001347;636;24455689.76;1
1482;2684873;1995000892;214;14274679.68;1
1482;2685271;2005004065;430;39861282;3
1482;2686592;2021003256;20;411336.8;1
1482;2686599;2022000129;249;1084514.52;1
1482;2686606;2022000056;302;2131198.9;1
1482;2686711;2005004456;92;14412789;1
1482;2686715;1987001419;258;16103825.9;1
1482;2689206;2004000465;4007;372125918.8;1
1482;2689228;2013001819;259;18868852.34;1
1482;2689550;2011002338;253;33897025.63;1
1482;2690629;2004000392;473;34509329.16;1
1482;2690639;2004000538;5880;348650366.4;1
1482;2886439;2000007211;1112;195942088.6;2
1482;3001649;2010001729;116;15553739.02;1
1511;2655935;1988002419;447;25113703.67;1
1523;2672477;2006003674;81545;13295220751;1
1523;2683129;1998004465;11571;976066332.4;1
1523;2683131;1977000274;9738;5746560268;2
1537;2653412;1980001774;4819;451368950;6
1537;2653416;1988000165;4447;394786986.5;6
1541;2688295;1986000656;13;1502249.84;1
1554;2677493;1978000456;33;3240031.08;1
1571;2674767;1980001383;4;1455365.52;1
1571;2674773;1996000365;6593;1009542915;1
1585;2655974;2006000911;3741;581967327;1
1599;2683097;1979001219;53;5915488.28;1
1599;2683099;2001002483;367;84905148.81;1
1612;2688380;1984000683;8066;1004617748;1
1674;2676201;2015000356;482;96487179.36;1
1674;2678960;2019001918;656;84197661.96;1
1674;2680788;2016000783;111;16974010.8;1
1674;2690426;2014000492;719;108153559.9;1
1674;2694805;1989002056;166;32959445;1
1688;2660993;2021000338;16;5076229.34;1
1688;2660996;2021000419;77;15905288.88;1
1688;2661000;2021001865;53;8706178.26;1
1688;2662715;1979002274;2744;430819533.8;1
1691;2677589;2006001011;116;17160384.84;1
1701;2656392;1999000838;1501;170323039.8;1
1715;2653896;2008004619;2825;37751057.22;1
